Card_ID,Card_Name,Card_Rel,Card_Power,Card_Power_Add_Self,Card_Power_Add_Other,Card_Tres,Card_Order,Card_MainTxt,Card_FrebTxt,Card_Illsutrator,Card_ID_Str,Card_Yomi,Card_SameId
1,流浪の格闘家　シン,1,,0,0,,,,,,1,ルロウノカクトウカ　シン,流浪の格闘家シン
2,導きの僧侶　ピオンボ,1,,0,0,,,,,,2,ミチビキノソウリョ　ピオンボ,導きの僧侶ピオンボ
3,インディーズ・ゴリラ,1,,0,0,,,,,,3,インディーズ・ゴリラ,インディーズ・ゴリラ
4,案内人　カコミ,1,,0,0,,,,,,4,アンナイニン　カコミ,案内人カコミ
5,魔法使い,1,,0,0,,,,,,5,マホウツカイ,魔法使い
6,タツの娘　キリコ,1,,0,0,,,,,,6,タツノコ　キリコ,タツの娘キリコ
7,あああ姫,1,,0,0,,,,,,7,アアアヒメ,あああ姫
8,発明家,1,,0,0,,,,,,8,ハツメイカ,発明家
9,工作員,1,,0,0,,,,,,9,コウサクイン,工作員
10,魚拓bot　ムイムイ,1,,0,0,,,,,,10,ギョタクボット　ムイムイ,魚拓botムイムイ
11,竜の子,1,,0,0,,,,,,11,リュウノコ,竜の子
12,トライアングルの双子,1,,0,0,,,,,,12,トライアングルノフタゴ,トライアングルの双子
13,きのこスライム,1,,0,0,,,,,,13,キノコスライム,きのこスライム
14,ミミカンちゃん,1,,0,0,,,,,,14,ミミカンチャン,ミミカンちゃん
15,ラブドラゴン,1,,0,0,,,,,,15,ラブドラゴン,ラブドラゴン
16,海賊,1,,0,0,,,,,,16,カイゾク,海賊
17,ゴースト,1,,0,0,,,,,,17,ゴースト,ゴースト
18,旧人類　シエル,1,,0,0,,,,,,18,キュウジンルイ　シエル,旧人類シエル
19,荒野のサスライ研究員,1,,0,0,,,,,,19,コウヤノサスライケンキュウイン,荒野のサスライ研究員
20,ケショー人,1,,0,0,,,,,,20,ケショージン,ケショー人
21,ブシン人,1,,0,0,,,,,,21,ブシンジン,ブシン人
22,弐丁剣銃　アィリ,1,,0,0,,,,,,22,ニチョウケンジュウ　アィリ,弐丁剣銃アィリ
23,弐丁剣銃　ゼノ,1,,0,0,,,,,,23,ニチョウケンジュウ　ゼノ,弐丁剣銃ゼノ
24,大海賊　エアヴァ・クリシア,1,,0,0,,,,,,24,ダイカイゾク　エアヴァ・クリシア,大海賊エアヴァ・クリシア
25,父なる海,1,,0,0,,,,,,25,チチナルウミ,父なる海
26,まものつかい,1,,0,0,,,,,,26,マモノツカイ,まものつかい
27,地底探検家,1,,0,0,,,,,,27,チテイタンケンカ,地底探検家
28,刈人ヒマツリ,1,,0,0,,,,,,28,カリウドヒマツリ,刈人ヒマツリ
29,マザーシップ,1,,0,0,,,,,,29,マザーシップ,マザーシップ
30,ウルイス人,1,,0,0,,,,,,30,ウルイスジン,ウルイス人
31,狩人ヒマツリ,1,,0,0,,,,,,31,カリウドヒマツリ,狩人ヒマツリ
32,蒸気駆動　マルシア,スターター,,0,0,,,,,,32,スチームパンク　マルシア,蒸気駆動マルシア
33,機電連動　シーナ,スターター,,0,0,,,,,,33,サイバーパンク　シーナ,機電連動シーナ
34,聖歌隊,2,,0,0,,,,,,34,セイカタイ,聖歌隊
35,旗振りの少女,2,,0,0,,,,,,35,ハタフリノショウジョ,旗振りの少女
36,手品師,2,,0,0,,,,,,36,テジナシ,手品師
37,悪魔ジシャン　トゥ=マニィ,2,,0,0,,,,,,37,アクマジシャン　トゥ=マニィ,悪魔ジシャントゥ=マニィ
38,性悪バニー　クイン・ラパン,2,,0,0,,,,,,38,ショウワルバニー　クイン・ラパン,性悪バニークイン・ラパン
39,仮面アイドル　三輝きらら,2,,0,0,,,,,,39,カメンアイドル　ミツキキララ,仮面アイドル三輝きらら
40,鉱石洞窟探検小隊長　コーリアン,2,,0,0,,,,,,40,コウセキドウクツタンケンショウタイチョウ　コーリアン,鉱石洞窟探検小隊長コーリアン
41,革進の技師　ニア,2,,0,0,,,,,,41,カクシンノギシ　ニア,革進の技師ニア
42,地底食房調理人　ボボドゥ,2,,0,0,,,,,,42,チテイショクボウチョウリニン　ボボドゥ,地底食房調理人ボボドゥ
43,輪廻団　ハァム,2,,0,0,,,,,,43,リンネダン　ハァム,輪廻団ハァム
44,輪廻団　フランケン・サボン,2,,0,0,,,,,,44,リンネダン　フランケン・サボン,輪廻団フランケン・サボン
45,輪廻団　ルリジュース・C・エル,2,,0,0,,,,,,45,リンネダン　ルリジュース・シー・エル,輪廻団ルリジュース・C・エル
46,研究者　プワゾン,2,,0,0,,,,,,46,ケンキュウシャ　プワゾン,研究者プワゾン
47,先導者　ダルク,2,,0,0,,,,,,47,センドウシャ　ダルク,先導者ダルク
48,ちび怪獣　フニル,2,,0,0,,,,,,48,チビカイジュウ　フニル,ちび怪獣フニル
49,少年採掘士　ハック,2,,0,0,,,,,,49,ショウネンサイクツシ　ハック,少年採掘士ハック
50,流れ渡る道化師　イルミナ,2,,0,0,,,,,,50,ナガレワタルドウケシ　イルミナ,流れ渡る道化師イルミナ
51,北方狼神　アマロック,2,,0,0,,,,,,51,ノルディック・ルプス　アマロック,北方狼神アマロック
52,逢馬　バイコーン,2,,0,0,,,,,,52,オウマ　バイコーン,逢馬バイコーン
53,”閃光”　カコミ・ヴィクトリアス,2,,0,0,,,,,,53,”リト・フラス”　カコミ・ヴィクトリアス,”閃光”カコミ・ヴィクトリアス
54,刈人フリズルシズル,2,,0,0,,,,,,54,カリウドフリズルシズル,刈人フリズルシズル
55,幽霊海賊　ナポレ・ジョーンズ,2,,0,0,,,,,,55,ユウレイカイゾク　ナポレ・ジョーンズ,幽霊海賊ナポレ・ジョーンズ
56,かにかにミミック,2,,0,0,,,,,,56,カニカニミミック,かにかにミミック
57,郵便配達員　メイ,2,,0,0,,,,,,57,ユウビンハイタツイン　メイ,郵便配達員メイ
58,S.R.M,2,,0,0,,,,,,58,ストレンジャーマン,S.R.M
59,アリッター,2,,0,0,,,,,,59,アリッター,アリッター
60,異端教徒,2,,0,0,,,,,,60,イタンキョウト,異端教徒
61,大司教＆天使,2,,0,0,,,,,,61,ダイシキョウアンドア・ラヴィール,大司教＆天使
62,タコわん！忍ドロイド,2,,0,0,,,,,,62,タコワン！ニンドロイド,タコわん！忍ドロイド
63,怪盗　ゼロサム=ディーモ,2,,0,0,,,,,,63,カイトウ　ゼロサム=ディーモ,怪盗ゼロサム=ディーモ
64,冥土の地図作家　ムンディー,2,,0,0,,,,,,64,メイドノチズサッカ　ムンディー,冥土の地図作家ムンディー
65,開窟探検英雄　アリス,2,,0,0,,,,,,65,カイクツタンケンエイユウ　アリス,開窟探検英雄アリス
66,輪廻団　レザー＆ボーン,2,,0,0,,,,,,66,リンネダン　レザーアンドボーン,輪廻団レザー＆ボーン
67,輪廻団　団長　スキュール,2,,0,0,,,,,,67,リンネダン　ダンチョウ　スキュール,輪廻団団長スキュール
68,付き人　ステラ,2,,0,0,,,,,,68,ツキビト　ステラ,付き人ステラ
69,大怪獣　ルルア,2,,0,0,,,,,,69,ダイカイジュウ　ルルア,大怪獣ルルア
70,ケショーモーグラー,2,,0,0,,,,,,70,ケショーモーグラー,ケショーモーグラー
71,マザースター,2,,0,0,,,,,,71,マザースター,マザースター
72,シュレリン,2,,0,0,,,,,,72,シュレリン,シュレリン
73,小さな子,2,,0,0,,,,,,73,チイサナコ,小さな子
74,《掻ッ喰ラウ顎人》　ディロ,3,,0,0,,,,,,74,《チャージ》　ディロ,《掻ッ喰ラウ顎人》ディロ
75,《手招ク耳人》　アンナ,3,,0,0,,,,,,75,《ファムファタ》　アンナ,《手招ク耳人》アンナ
76,《紡グ角人》　ムフロナ,3,,0,0,,,,,,76,《ギフト》　ムフロナ,《紡グ角人》ムフロナ
77,復縁の呪傑　タンヤン,3,,0,0,,,,,,77,フクエンノジュケツ　タンヤン,復縁の呪傑タンヤン
78,叛逆の呪傑　レイ,3,,0,0,,,,,,78,ハンギャクノジュケツ　レイ,叛逆の呪傑レイ
79,鎖蛇の呪傑　サラヌイ,3,,0,0,,,,,,79,サジャノジュケツ　サラヌイ,鎖蛇の呪傑サラヌイ
80,日暈隊　メラにゃん,3,,0,0,,,,,,80,ヒガサタイ　メラニャン,日暈隊メラにゃん
81,日暈隊　フレア,3,,0,0,,,,,,81,ヒガサタイ　フレア,日暈隊フレア
82,日暈隊　蛾ブレイル,3,,0,0,,,,,,82,ヒガサタイ　ガブレイル,日暈隊蛾ブレイル
83,蒼炎の契約者　シキ,3,,0,0,,,,,,83,サッフィルス・イグニス　シキ,蒼炎の契約者シキ
84,玩具の指揮官　ウー,3,,0,0,,,,,,84,トイ・コマンダー　ウー,玩具の指揮官ウー
85,十字架の死神　レオニエ,3,,0,0,,,,,,85,クロス・リーパー　レオニエ,十字架の死神レオニエ
86,水晶傀儡の女王　プリズマ,3,,0,0,,,,,,86,クリオネノジョオウ　プリズマ,水晶傀儡の女王プリズマ
87,自己愛の鬣犬　クラン,3,,0,0,,,,,,87,ナルシヅムノハイエナ　クラン,自己愛の鬣犬クラン
88,ドラゴン・イマジナ,3,,0,0,,,,,,88,ドラゴン・イマジナ,ドラゴン・イマジナ
89,DGA,3,,0,0,,,,,,89,ディージーエー ディフェンスグローバルエージェンシー,DGA
90,DGAニホン支部軍楽隊　錫原スズ,3,,0,0,,,,,,90,ディージーエー　ニホンシブグンガクタイ　スズハラスズ,DGAニホン支部軍楽隊錫原スズ
91,保安騎士団,3,,0,0,,,,,,91,ホアンキシダン,保安騎士団
92,堅牢の大楯使い　メルシエ,3,,0,0,,,,,,92,ケンロウノオオタテツカイ　メルシエ,堅牢の大楯使いメルシエ
93,自立梟型撮影機　ow-1,3,,0,0,,,,,,93,ジリツフクロウガタサツエイキ　オウル,自立梟型撮影機ow-1
94,《希望ノ人》　アップリケ,3,,0,0,,,,,,94,《ブースト》　アップリケ,《希望ノ人》アップリケ
95,《貪る翼人》　プテプテ,3,,0,0,,,,,,95,《ランペイジ》　プテプテ,《貪る翼人》プテプテ
96,壊撃の呪傑　ヴァルドラ,3,,0,0,,,,,,96,カイゲキノジュケツ　ヴァルドラ,壊撃の呪傑ヴァルドラ
97,千縛の鬼姫　シャルナ,3,,0,0,,,,,,97,センバクノキキ　シャルナ,千縛の鬼姫シャルナ
98,日暈隊　エンジーぬ,3,,0,0,,,,,,98,ヒガサタイ　エンジーヌ,日暈隊エンジーぬ
99,日暈隊　隊長　ティス,3,,0,0,,,,,,99,ヒガサタイ　タイチョウ　ティス,日暈隊隊長ティス
100,花咲く闇の幻術師　レイア,3,,0,0,,,,,,100,ブロッサム・ソーサレス　レイア,花咲く闇の幻術師レイア
101,宵闇の吸血鬼　エバ,3,,0,0,,,,,,101,シャドー・ヴァンパイア　エバ,宵闇の吸血鬼エバ
102,混合水晶傀儡体,3,,0,0,,,,,,102,キメラ・クリオネアス,混合水晶傀儡体
103,兎兎亭店主　雪苺,3,,0,0,,,,,,103,トゥートゥーテイテンシュ　シュエメイ,兎兎亭店主雪苺
104,待ち霊,3,,0,0,,,,,,104,マチビト,待ち霊
105,災禍の追跡者　ロマ・キュラー,3,,0,0,,,,,,105,サイカノツイセキシャ　ロマ・キュラー,災禍の追跡者ロマ・キュラー
106,ウノ△キリマンジャロ,3,,0,0,,,,,,106,ウノ△キリマンジャロ,ウノ△キリマンジャロ
107,「連鎖」シュプルゥ（+ガマチー）,3,,0,0,,,,,,107,「チェイン」シュプルゥ（+ガマチー）,「連鎖」シュプルゥ（+ガマチー）
108,《永遠の管理者》∞ウマーマ・ハート,3,,0,0,,,,,,108,《エイエンノカンリシャ》インフィニピーウマーマ・ハート,《永遠の管理者》∞ウマーマ・ハート
109,†暗黒深淵惑星†,3,,0,0,,,,,,109,†ダーク・アンダー・スター†,†暗黒深淵惑星†
110,||:機械仕掛けのアペルD.C.,3,,0,0,,,,,,110,キカイジカケノアぺㇽダ・カーポ,||:機械仕掛けのアペルD.C.
111,真愛しや、ディスコード。,3,,0,0,,,,,,111,マカナシヤ、ディスコード。,真愛しや、ディスコード。
112,Archivist　ケヒトスコネ,3,,0,0,,,,,,112,アーキビスト　ケヒトスコネ,Archivistケヒトスコネ
113,ジャスタ・ル・ダルラ,3,,0,0,,,,,,113,ジャスタ・ル・ダルラ,ジャスタ・ル・ダルラ
114,不滅なる守護者　ディアンナ,3,,0,0,,,,,,114,フメツナルシュゴシャ　ディアンナ,不滅なる守護者ディアンナ
115,"虚無指す方舟の羅針盤
ーTreasure of Travelerー",3,,0,0,,,,,,115,キョムサスハコブネノラシンバン ートレジャーオブトラベラーー,虚無指す方舟の羅針盤ーTreasureofTravelerー
116,女王,1プロモ,,0,0,,,,,,116,ジョオウ,女王
