,,,,,,
,,固有表,,,,
,,,,,,
,,1,2,3,4,
,,1意になる,,,,
,,固有番号,カード名,カタカナ表記,収録弾,コード名
,,1,流浪の格闘家　シン,ルロウノカクトウカ　シン,1,shin
,,2,導きの僧侶　ピオンボ,ミチビキノソウリョ　ピオンボ,1,piombo
,,3,インディーズ・ゴリラ,インディーズ・ゴリラ,1,ingori
,,4,案内人　カコミ,アンナイニン　カコミ,1,kakomi
,,5,魔法使い,マホウツカイ,1,mahotsuka
,,6,タツの娘　キリコ,タツノコ　キリコ,1,kiriko
,,7,あああ姫,アアアヒメ,1,aaa
,,8,発明家,ハツメイカ,1,meika
,,9,工作員,コウサクイン,1,kousaku
,,10,魚拓bot　ムイムイ,ギョタクボット　ムイムイ,1,muimui
,,11,竜の子,リュウノコ,1,ryuunoko
,,12,トライアングルの双子,トライアングルノフタゴ,1,hutago
,,13,きのこスライム,キノコスライム,1,kinosura
,,14,ミミカンちゃん,ミミカンチャン,1,
,,15,ラブドラゴン,ラブドラゴン,1,
,,16,海賊,カイゾク,1,
,,17,ゴースト,ゴースト,1,
,,18,旧人類　シエル,キュウジンルイ　シエル,1,
,,19,荒野のサスライ研究員,コウヤノサスライケンキュウイン,1,
,,20,ケショー人,ケショージン,1,
,,21,ブシン人,ブシンジン,1,
,,22,弐丁剣銃　アィリ,ニチョウケンジュウ　アィリ,1,
,,23,弐丁剣銃　ゼノ,ニチョウケンジュウ　ゼノ,1,
,,24,大海賊　エアヴァ・クリシア,ダイカイゾク　エアヴァ・クリシア,1,
,,25,父なる海,チチナルウミ,1,
,,26,まものつかい,マモノツカイ,1,
,,27,地底探検家,チテイタンケンカ,1,
,,28,刈人ヒマツリ,カリウドヒマツリ,1,
,,29,マザーシップ,マザーシップ,1,
,,30,ウルイス人,ウルイスジン,1,
,,31,蒸気駆動　マルシア,スチームパンク　マルシア,スターター,
,,32,機電連動　シーナ,サイバーパンク　シーナ,スターター,
,,33,聖歌隊,セイカタイ,2,
,,34,旗振りの少女,ハタフリノショウジョ,2,
,,35,手品師,"テジナシ",2,
,,36,悪魔ジシャン　トゥ=マニィ,アクマジシャン　トゥ=マニィ,2,
,,37,性悪バニー　クイン・ラパン,ショウワルバニー　クイン・ラパン,2,
,,38,仮面アイドル　三輝きらら,カメンアイドル　ミツキキララ,2,
,,39,鉱石洞窟探検小隊長　コーリアン,コウセキドウクツタンケンショウタイチョウ　コーリアン,2,
,,40,革進の技師　ニア,カクシンノギシ　ニア,2,
,,41,地底食房調理人　ボボドゥ,チテイショクボウチョウリニン　ボボドゥ,2,
,,42,輪廻団　ハァム,リンネダン　ハァム,2,
,,43,輪廻団　フランケン・サボン,リンネダン　フランケン・サボン,2,
,,44,輪廻団　ルリジュース・C・エル,リンネダン　ルリジュース・シー・エル,2,
,,45,研究者　プワゾン,ケンキュウシャ　プワゾン,2,
,,46,先導者　ダルク,センドウシャ　ダルク,2,
,,47,ちび怪獣　フニル,チビカイジュウ　フニル,2,
,,48,少年採掘士　ハック,ショウネンサイクツシ　ハック,2,
,,49,流れ渡る道化師　イルミナ,ナガレワタルドウケシ　イルミナ,2,
,,50,北方狼神　アマロック,ノルディック・ルプス　アマロック,2,
,,51,逢馬　バイコーン,オウマ　バイコーン,2,
,,52,”閃光”　カコミ・ヴィクトリアス,”リト・フラス”　カコミ・ヴィクトリアス,2,
,,53,刈人フリズルシズル,カリウドフリズルシズル,2,
,,54,幽霊海賊　ナポレ・ジョーンズ,ユウレイカイゾク　ナポレ・ジョーンズ,2,
,,55,かにかにミミック,カニカニミミック,2,
,,56,郵便配達員　メイ,ユウビンハイタツイン　メイ,2,
,,57,S.R.M,ストレンジャーマン,2,
,,58,アリッター,アリッター,2,
,,59,異端教徒,イタンキョウト,2,
,,60,大司教＆天使,ダイシキョウアンドア・ラヴィール,2,
,,61,タコわん！忍ドロイド,タコワン！ニンドロイド,2,
,,62,怪盗　ゼロサム=ディーモ,カイトウ　ゼロサム=ディーモ,2,
,,63,冥土の地図作家　ムンディー,メイドノチズサッカ　ムンディー,2,
,,64,開窟探検英雄　アリス,カイクツタンケンエイユウ　アリス,2,
,,65,輪廻団　レザー＆ボーン,リンネダン　レザーアンドボーン,2,
,,66,輪廻団　団長　スキュール,リンネダン　ダンチョウ　スキュール,2,
,,67,付き人　ステラ,ツキビト　ステラ,2,
,,68,大怪獣　ルルア,ダイカイジュウ　ルルア,2,
,,69,ケショーモーグラー,ケショーモーグラー,2,
,,70,マザースター,マザースター,2,
,,71,シュレリン,シュレリン,2,
,,72,小さな子,チイサナコ,2,
,,73,《掻ッ喰ラウ顎人》　ディロ,《チャージ》　ディロ,3,
,,74,《手招ク耳人》　アンナ,《ファムファタ》　アンナ,3,
,,75,《紡グ角人》　ムフロナ,《ギフト》　ムフロナ,3,
,,76,復縁の呪傑　タンヤン,フクエンノジュケツ　タンヤン,3,
,,77,叛逆の呪傑　レイ,ハンギャクノジュケツ　レイ,3,
,,78,鎖蛇の呪傑　サラヌイ,サジャノジュケツ　サラヌイ,3,
,,79,日暈隊　メラにゃん,ヒガサタイ　メラニャン,3,
,,80,日暈隊　フレア,ヒガサタイ　フレア,3,
,,81,日暈隊　蛾ブレイル,ヒガサタイ　ガブレイル,3,
,,82,蒼炎の契約者　シキ,サッフィルス・イグニス　シキ,3,
,,83,玩具の指揮官　ウー,トイ・コマンダー　ウー,3,
,,84,十字架の死神　レオニエ,クロス・リーパー　レオニエ,3,
,,85,水晶傀儡の女王　プリズマ,クリオネノジョオウ　プリズマ,3,
,,86,自己愛の鬣犬　クラン,ナルシヅムノハイエナ　クラン,3,
,,87,ドラゴン・イマジナ,ドラゴン・イマジナ,3,
,,88,DGA,"ディージーエー
ディフェンスグローバルエージェンシー",3,
,,89,DGAニホン支部軍楽隊　錫原スズ,ディージーエー　ニホンシブグンガクタイ　スズハラスズ,3,
,,90,保安騎士団,ホアンキシダン,3,
,,91,堅牢の大楯使い　メルシエ,ケンロウノオオタテツカイ　メルシエ,3,
,,92,自立梟型撮影機　ow-1,ジリツフクロウガタサツエイキ　オウル,3,
,,93,《希望ノ人》　アップリケ,《ブースト》　アップリケ,3,
,,94,《貪る翼人》　プテプテ,《ランペイジ》　プテプテ,3,
,,95,壊撃の呪傑　ヴァルドラ,カイゲキノジュケツ　ヴァルドラ,3,
,,96,千縛の鬼姫　シャルナ,センバクノキキ　シャルナ,3,
,,97,日暈隊　エンジーぬ,ヒガサタイ　エンジーヌ,3,
,,98,日暈隊　隊長　ティス,ヒガサタイ　タイチョウ　ティス,3,
,,99,花咲く闇の幻術師　レイア,ブロッサム・ソーサレス　レイア,3,
,,100,宵闇の吸血鬼　エバ,シャドー・ヴァンパイア　エバ,3,
,,101,混合水晶傀儡体,キメラ・クリオネアス,3,
,,102,兎兎亭店主　雪苺,トゥートゥーテイテンシュ　シュエメイ,3,
,,103,待ち霊,マチビト,3,
,,104,災禍の追跡者　ロマ・キュラー,サイカノツイセキシャ　ロマ・キュラー,3,
,,105,ウノ△キリマンジャロ,ウノ△キリマンジャロ,3,
,,106,「連鎖」シュプルゥ（+ガマチー）,「チェイン」シュプルゥ（+ガマチー）,3,
